symbol,side,amount,open_time,open_price,close_time,close_price,value,notional,profit,profit_percent
ETH-PERP,buy,0.010412466517757195,2022-03-02 21:45:00,3028.6,2022-03-03 10:45:00,2901.6,31.535196095679442,31.535196095679442,-1.3656068540156858,-4.3273921422804325
ETH-PERP,buy,0.01032919591481251,2022-03-03 18:30:00,2931.5,2022-03-03 22:00:00,2882.589866216672,30.280037824272874,60.56007564854575,-0.5472407653738216,-1.8060015907909277
SOL-PERP,buy,0.29954284975167916,2022-03-03 18:30:00,101.0875,2022-03-03 22:00:00,98.50072953101122,30.28003782427287,60.56007564854574,-0.8166982568698155,-2.695264030806471
ETH-PERP,buy,0.01032919591481251,2022-03-03 18:30:00,2931.5,2022-03-03 22:15:00,2861.6,30.280037824272874,30.280037824272874,-0.7638974398432665,-2.521011004389719
SOL-PERP,buy,0.29954284975167916,2022-03-03 18:30:00,101.0875,2022-03-03 22:15:00,97.06,30.28003782427287,30.28003782427287,-1.247956394149706,-4.118500257436953
LUNA-PERP,buy,0.32822869387603343,2022-03-03 08:30:00,93.293,2022-03-03 22:30:00,91.6378861546714,30.621439537776787,61.242879075553574,-0.5857455919222618,-1.911522990616996
LUNA-PERP,buy,0.32822869387603343,2022-03-03 08:30:00,93.293,2022-03-03 22:45:00,89.826,30.621439537776787,30.621439537776787,-1.1800423188039284,-3.8509517671181484
SOL-PERP,sell,0.6506694186660421,2022-03-06 09:00:00,89.1225,2022-03-06 09:45:00,88.66,57.98928526506434,57.98928526506434,0.21996026098625018,0.379577606481685
ETH-PERP,sell,0.02198980560749308,2022-03-06 10:45:00,2642.1,2022-03-06 11:15:00,2630.3,58.09926539555747,58.09926539555747,0.17832237040895635,0.30714206503729125
LUNA-PERP,sell,0.7049468347499113,2022-03-07 01:45:00,82.543,2022-03-07 03:00:00,80.052,58.18842658076193,58.18842658076193,1.6757879839447163,2.881950854810052
SOL-PERP,sell,0.6774958705371786,2022-03-07 02:15:00,85.8875,2022-03-07 03:00:00,85.3775,58.188426580761934,58.188426580761934,0.2643009627866829,0.4545338628322142
ETH-PERP,sell,0.0113447764074191,2022-03-07 03:00:00,2607.3,2022-03-07 05:30:00,2644.6050278723383,29.57923552706382,59.15847105412764,-0.4649243818621602,-1.5728941218792025
ETH-PERP,sell,0.0113447764074191,2022-03-07 03:00:00,2607.3,2022-03-07 19:30:00,2562.8,29.57923552706382,29.57923552706382,0.4637850101773495,1.5690394928350206
LUNA-PERP,sell,0.7414199945893624,2022-03-08 01:15:00,79.79,2022-03-08 02:45:00,76.935,59.15790136828523,59.15790136828523,2.035414750496221,3.443057464451215
SOL-PERP,sell,0.704722155795881,2022-03-08 00:15:00,83.945,2022-03-08 03:00:00,80.2975,59.15790136828523,59.15790136828523,2.489452333194158,4.2110962574630095
SOL-PERP,sell,0.7463434584133959,2022-03-08 22:45:00,82.295,2022-03-08 23:30:00,82.055,61.420334910130414,61.420334910130414,0.09325934684604582,0.15194426121980623
SOL-PERP,sell,0.3777468324947974,2022-03-11 08:30:00,81.36,2022-03-11 13:30:00,82.19691897634658,30.733482291776717,61.466964583553434,-0.35939166802285866,-1.1702006788601975
SOL-PERP,sell,0.3777468324947974,2022-03-11 08:30:00,81.36,2022-03-11 13:45:00,82.115,30.733482291776717,30.733482291776717,-0.3284253729430337,-1.0693725775200975
LUNA-PERP,buy,0.3085713942724828,2022-03-11 14:30:00,99.042,2022-03-11 18:30:00,95.4717137957157,30.561528031535243,61.123056063070486,-1.1437031495175582,-3.7396792338266156
LUNA-PERP,buy,0.3085713942724828,2022-03-11 14:30:00,99.042,2022-03-11 22:00:00,95.126,30.561528031535243,30.561528031535243,-1.2503058633092066,-4.088248663931232
SOL-PERP,sell,0.3663185497686723,2022-03-11 22:15:00,81.795,2022-03-12 08:15:00,81.85209689387023,29.96302577832855,59.9260515566571,-0.06287852840444987,-0.21000073447824003
SOL-PERP,sell,0.3663185497686723,2022-03-11 22:15:00,81.795,2022-03-12 08:30:00,81.94,29.96302577832855,29.96302577832855,-0.09510160713891819,-0.3176188733421517
LUNA-PERP,sell,0.6711569080283214,2022-03-12 14:45:00,89.17,2022-03-12 15:15:00,88.372,59.84706148888542,59.84706148888542,0.4521722347709922,0.7560755128118786
SOL-PERP,sell,0.3706274337925836,2022-03-12 15:15:00,81.0425,2022-03-12 23:00:00,82.12475098783072,30.036573803135457,60.073147606270915,-0.44344388799801104,-1.477380606282731
SOL-PERP,sell,0.3706274337925836,2022-03-12 15:15:00,81.0425,2022-03-12 23:30:00,82.1575,30.036573803135457,30.036573803135457,-0.4555900667151918,-1.5178468960724494
ETH-PERP,sell,0.011607154381894236,2022-03-13 07:00:00,2568.4,2022-03-13 08:30:00,2590.9448919965353,29.811815314457156,59.62363062891431,-0.30360176079650086,-1.0191074501618678
ETH-PERP,sell,0.011607154381894236,2022-03-13 07:00:00,2568.4,2022-03-13 08:45:00,2590.5,29.811815314457156,29.811815314457156,-0.29843421595838926,-1.0017614261146128
SOL-PERP,sell,0.36774065210419904,2022-03-13 08:00:00,81.0675,2022-03-13 11:00:00,82.24914960745069,29.811815314457153,59.623630628914306,-0.4765813170608714,-1.5997521541063708
SOL-PERP,sell,0.36774065210419904,2022-03-13 08:00:00,81.0675,2022-03-13 11:15:00,82.735,29.811815314457153,29.811815314457153,-0.6553733241001606,-2.1999076536170072
SOL-PERP,sell,0.7187795622968542,2022-03-13 15:00:00,81.745,2022-03-13 19:15:00,81.1325,58.75663531995635,58.75663531995635,0.3583013691962296,0.6102329615929201
ETH-PERP,sell,0.02310754205236403,2022-03-14 03:15:00,2550.5,2022-03-14 06:45:00,2512.0,58.935786004554465,58.935786004554465,0.8077530168679544,1.3715246624411321
LUNA-PERP,buy,0.639332678047605,2022-03-15 05:45:00,92.815,2022-03-15 07:15:00,94.423,59.339662512988454,59.339662512988454,0.9442517859199592,1.590152744503733
