symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
ETH-PERP,buy,0.02916862060012045,2021-07-01 02:00:00,2215.8,2021-07-01 11:30:00,2182.4420543680712,64.6318295257469,-1.062808717791123,-1.6432542292146715
LUNA-PERP,buy,10.597800921840506,2021-07-04 13:00:00,6.0,2021-07-05 03:00:00,6.185,63.586805531043034,1.8701992275776618,2.9391176176676437
SOL-PERP,buy,1.8146919386713196,2021-07-04 13:00:00,35.04,2021-07-05 06:00:00,34.425959359032596,63.58680553104304,-1.202536122702744,-1.8898495154953243
ETH-PERP,buy,0.02778071062778934,2021-07-06 11:30:00,2300.9,2021-07-06 13:30:00,2329.2,63.9206370834805,0.6961548829720332,1.0883306975221283
LUNA-PERP,buy,9.834539330522803,2021-07-07 07:00:00,6.535,2021-07-07 07:30:00,6.861750000000001,64.26871452496653,3.121210120905011,4.853102828020404
ETH-PERP,buy,0.027708274932830634,2021-07-07 11:30:00,2375.8,2021-07-07 12:00:00,2392.6,65.82931958541903,0.37301212213874924,0.5662388714464268
SOL-PERP,buy,1.913086881296688,2021-07-07 08:30:00,34.41,2021-07-07 15:00:00,35.0125,65.82931958541903,1.0596669541694987,1.608592816763254
LUNA-PERP,buy,9.103373341118079,2021-07-09 10:30:00,7.31,2021-07-09 20:00:00,7.6754999999999995,66.54565912357316,3.2317899353363306,4.853102828020386
ETH-PERP,sell,0.032108882568672205,2021-07-09 18:30:00,2072.5,2021-07-09 20:30:00,2141.2759034294863,66.54565912357315,-2.3030271517294554,-3.4632467847824895
SOL-PERP,sell,2.042677656313873,2021-07-10 18:30:00,32.805,2021-07-10 22:00:00,32.4325,67.0100405153766,0.6676159984542716,0.9969903791669523
LUNA-PERP,buy,8.043937949665997,2021-07-11 07:30:00,8.372,2021-07-12 08:30:00,8.167423155250775,67.34384851460372,-1.7387329106100966,-2.580067351777559
SOL-PERP,sell,2.1032900509191164,2021-07-12 17:30:00,31.605,2021-07-12 19:00:00,31.3575,66.47448205929868,0.4278644077207917,0.6441029840964716
ETH-PERP,sell,0.0358501313101597,2021-07-17 09:30:00,1860.2,2021-07-18 00:00:00,1906.8972748615147,66.68841426315907,-1.7686390879852636,-2.653951247967842
LUNA-PERP,sell,10.526979362771755,2021-07-17 09:30:00,6.335,2021-07-18 08:00:00,6.633963500369478,66.68841426315906,-3.2427494063989513,-4.865944042751578
SOL-PERP,sell,2.4339294659069757,2021-07-18 22:00:00,26.37,2021-07-19 08:30:00,25.995,64.18272001596695,0.8235066481775666,1.2839647594043992
LUNA-PERP,buy,9.586594440495062,2021-07-22 07:30:00,6.738,2021-07-22 11:30:00,6.938,64.59447334005573,1.8255445022012653,2.824185136299515
SOL-PERP,buy,2.41634989270219,2021-07-22 12:00:00,27.11,2021-07-23 00:30:00,27.8675,65.50724559115636,1.7373936303636857,2.6503607194624426
LUNA-PERP,buy,9.011124410309288,2021-07-24 04:30:00,7.366,2021-07-24 06:30:00,7.7343,66.37594240633821,3.223547642963828,4.853102828020405
ETH-PERP,buy,0.032169797124188534,2021-07-24 05:30:00,2063.3,2021-07-24 18:30:00,2166.465,66.37594240633821,3.223547642963813,4.853102828020382
LUNA-PERP,buy,8.81006203155722,2021-07-24 22:30:00,7.9,2021-07-25 01:00:00,8.295,69.59949004930203,3.3800992342443528,4.853102828020385
ETH-PERP,buy,0.03261335818949824,2021-07-26 06:30:00,2185.9,2021-07-26 08:00:00,2262.2,71.2895396664242,2.3868519948648204,3.3457676657311106
SOL-PERP,sell,2.631677068670477,2021-07-29 08:00:00,27.5425,2021-07-29 14:00:00,28.456704261024345,72.48296566385662,-2.509050665020881,-3.463997654878565
LUNA-PERP,buy,6.452435939065692,2021-08-01 11:00:00,11.039,2021-08-01 20:00:00,11.397,71.22844033134618,2.208635269275311,3.098608218562626
ETH-PERP,buy,0.027234744518236313,2021-08-02 03:00:00,2655.9,2021-08-02 06:30:00,2576.0129991056015,72.33275796598383,-2.275444929397651,-3.1436009023802045
LUNA-PERP,buy,5.97574580336453,2021-08-03 01:00:00,11.914,2021-08-03 02:30:00,12.108,71.195035501285,1.058810129870825,1.4861562660711982
LUNA-PERP,buy,5.820371708692723,2021-08-03 15:00:00,12.323,2021-08-03 18:00:00,12.939150000000001,71.72444056622042,3.483297456098507,4.853102828020402
LUNA-PERP,buy,5.0641820703294735,2021-08-04 20:00:00,14.507,2021-08-04 21:30:00,15.23235,73.46608929426966,3.5678806265762195,4.853102828020404
ETH-PERP,buy,0.028391594255012247,2021-08-04 20:00:00,2587.6,2021-08-04 22:00:00,2639.1,73.4660892942697,1.3582910621482671,1.84757476073752
LUNA-PERP,buy,5.0602582564899645,2021-08-05 10:30:00,15.005,2021-08-05 16:30:00,14.41863173821287,75.92917513863192,-3.0713986608594377,-4.042254087609371
SOL-PERP,buy,1.997140290153079,2021-08-06 16:00:00,37.25,2021-08-06 22:00:00,38.9625,74.3934758082022,3.3135578088328455,4.450981628296436
SOL-PERP,buy,1.9062603011058685,2021-08-10 09:30:00,39.895,2021-08-10 19:30:00,41.595,76.05025471261862,3.131903705523986,4.1153220568637305
ETH-PERP,buy,0.024293022399180166,2021-08-10 20:30:00,3195.0,2021-08-10 23:30:00,3087.5817419496834,77.61620656538062,-2.7163501781845647,-3.4972722621451844
SOL-PERP,buy,1.8419814366253222,2021-08-11 07:30:00,41.4,2021-08-11 12:30:00,42.33,76.25803147628834,1.605082362079504,2.103332015415298
ETH-PERP,buy,0.02403861018103007,2021-08-11 13:30:00,3205.7,2021-08-11 14:30:00,3237.4,77.0605726573281,0.6536057242584831,0.8475780775711192
LUNA-PERP,buy,4.361080615354035,2021-08-14 03:30:00,17.745,2021-08-14 17:00:00,17.361156516905368,77.38737551945735,-1.7811429185197927,-2.2999836584183404
